set_num,count
31062-1,1
70821-1,1
60181-1,3
60180-1,1
70918-1,1
75187-1,1
70901-1,1
10712-1,2
31058-1,1
60138-1,1
76133-1,1
75237-1,1
75235-1,1
75166-1,1
60159-1,1
76115-1,1
10754-1,1
75262-1,1
76104-1,1
31090-1,2
75226-1,1
21140-1,2
75223-1,1
75247-1,1
75172-1,1
75230-1,1
60183-1,1
21145-1,1
75183-1,1
21140-1,1
76113-1,1
76102-1,1
21152-1,1
10760-1,1
76108-1,1
21142-1,1
60184-1,1
60229-1,1
10717-1,2
42090-1,1
76127-1,2
42091-1,1
31096-1,1
60182-1,1
75214-1,1
30364-1,1
60219-1,1
75189-1,1
41169-1,1
21143-1,1
60224-1,1
75947-1,1
76107-1,1
60205-1,1
70666-1,1
75254-1,1
75255-1,1
75241-1,1
31086-1,1
75957-1,1
75246-1,1
42070-1,1
