,set_num,name_x,year,theme_id,num_parts,set_img_url,set_url,last_modified_dt,id,parent_id,name_y
0,31062-1,Robo Explorer,2017,672,205,https://cdn.rebrickable.com/media/sets/31062-1/9935.jpg,https://rebrickable.com/sets/31062-1/robo-explorer/,2018-11-29T23:47:51.919445Z,672,22.0,Creator 3-in-1
1,31058-1,Mighty Dinosaurs,2017,672,174,https://cdn.rebrickable.com/media/sets/31058-1/30803.jpg,https://rebrickable.com/sets/31058-1/mighty-dinosaurs/,2021-09-03T04:27:39.904512Z,672,22.0,Creator 3-in-1
2,31090-1,Underwater Robot,2019,672,207,https://cdn.rebrickable.com/media/sets/31090-1/11057.jpg,https://rebrickable.com/sets/31090-1/underwater-robot/,2019-09-10T14:24:10.948277Z,672,22.0,Creator 3-in-1
3,31096-1,Twin-Rotor Helicopter,2019,672,569,https://cdn.rebrickable.com/media/sets/31096-1/12970.jpg,https://rebrickable.com/sets/31096-1/twin-rotor-helicopter/,2019-08-09T20:49:15.343782Z,672,22.0,Creator 3-in-1
4,31086-1,Futuristic Flyer,2019,672,157,https://cdn.rebrickable.com/media/sets/31086-1/17218.jpg,https://rebrickable.com/sets/31086-1/futuristic-flyer/,2019-05-31T18:21:15.471592Z,672,22.0,Creator 3-in-1
5,70821-1,Emmet and Benny's 'Build and Fix' Workshop!,2019,670,125,https://cdn.rebrickable.com/media/sets/70821-1/10274.jpg,https://rebrickable.com/sets/70821-1/emmet-and-bennys-build-and-fix-workshop/,2019-08-31T07:04:59.384354Z,670,578.0,The LEGO Movie II
6,60181-1,Forest Tractor,2018,57,174,https://cdn.rebrickable.com/media/sets/60181-1/539.jpg,https://rebrickable.com/sets/60181-1/forest-tractor/,2017-12-27T10:07:31.392945Z,57,52.0,Farm
7,60180-1,Monster Truck,2018,64,192,https://cdn.rebrickable.com/media/sets/60180-1/2496.jpg,https://rebrickable.com/sets/60180-1/monster-truck/,2017-12-26T17:42:33.904895Z,64,52.0,Off-Road
8,70918-1,The Bat-Dune Buggy,2018,708,198,https://cdn.rebrickable.com/media/sets/70918-1/1237.jpg,https://rebrickable.com/sets/70918-1/the-bat-dune-buggy/,2020-06-12T23:49:30.572766Z,708,697.0,The LEGO Batman Movie
9,70901-1,Mr. Freeze Ice Attack,2017,708,201,https://cdn.rebrickable.com/media/sets/70901-1/27849.jpg,https://rebrickable.com/sets/70901-1/mr-freeze-ice-attack/,2020-06-12T23:57:05.825870Z,708,697.0,The LEGO Batman Movie
10,75187-1,BB-8,2017,158,1106,https://cdn.rebrickable.com/media/sets/75187-1/5992.jpg,https://rebrickable.com/sets/75187-1/bb-8/,2019-11-05T11:28:06.350268Z,158,,Star Wars
11,75237-1,TIE Fighter Attack,2019,158,77,https://cdn.rebrickable.com/media/sets/75237-1/11055.jpg,https://rebrickable.com/sets/75237-1/tie-fighter-attack/,2019-01-26T14:18:28.224662Z,158,,Star Wars
12,75235-1,X-Wing Starfighter Trench Run,2019,158,132,https://cdn.rebrickable.com/media/sets/75235-1/16210.jpg,https://rebrickable.com/sets/75235-1/x-wing-starfighter-trench-run/,2019-11-05T16:41:37.963958Z,158,,Star Wars
13,75166-1,First Order Transport Speeder Battle Pack,2017,158,117,https://cdn.rebrickable.com/media/sets/75166-1/16168.jpg,https://rebrickable.com/sets/75166-1/first-order-transport-speeder-battle-pack/,2020-04-22T00:11:21.612138Z,158,,Star Wars
14,75262-1,Imperial Dropship - 20th Anniversary Edition,2019,158,125,https://cdn.rebrickable.com/media/sets/75262-1/14079.jpg,https://rebrickable.com/sets/75262-1/imperial-dropship-20th-anniversary-edition/,2020-08-18T18:43:54.057679Z,158,,Star Wars
15,75226-1,Inferno Squad Battle Pack,2019,158,118,https://cdn.rebrickable.com/media/sets/75226-1/16345.jpg,https://rebrickable.com/sets/75226-1/inferno-squad-battle-pack/,2019-01-14T15:33:18.694775Z,158,,Star Wars
16,75223-1,Naboo Starfighter Microfighter,2019,158,62,https://cdn.rebrickable.com/media/sets/75223-1/9765.jpg,https://rebrickable.com/sets/75223-1/naboo-starfighter-microfighter/,2019-08-28T09:54:58.931166Z,158,,Star Wars
17,75247-1,Rebel A-Wing Starfighter,2019,158,62,https://cdn.rebrickable.com/media/sets/75247-1/10967.jpg,https://rebrickable.com/sets/75247-1/rebel-a-wing-starfighter/,2019-01-26T14:19:51.264616Z,158,,Star Wars
18,75172-1,Y-Wing Starfighter,2017,158,691,https://cdn.rebrickable.com/media/sets/75172-1/14433.jpg,https://rebrickable.com/sets/75172-1/y-wing-starfighter/,2020-04-22T00:34:46.461685Z,158,,Star Wars
19,75230-1,Porg,2018,158,811,https://cdn.rebrickable.com/media/sets/75230-1/11374.jpg,https://rebrickable.com/sets/75230-1/porg/,2019-11-05T11:30:48.602743Z,158,,Star Wars
20,75183-1,Darth Vader Transformation,2017,158,290,https://cdn.rebrickable.com/media/sets/75183-1/4009.jpg,https://rebrickable.com/sets/75183-1/darth-vader-transformation/,2019-11-05T11:18:08.287715Z,158,,Star Wars
21,75214-1,Anakin's Jedi Starfighter,2018,158,247,https://cdn.rebrickable.com/media/sets/75214-1/4606.jpg,https://rebrickable.com/sets/75214-1/anakins-jedi-starfighter/,2019-11-03T17:55:00.346401Z,158,,Star Wars
22,75189-1,First Order Heavy Assault Walker,2017,158,1376,https://cdn.rebrickable.com/media/sets/75189-1/5263.jpg,https://rebrickable.com/sets/75189-1/first-order-heavy-assault-walker/,2019-11-05T11:29:34.588927Z,158,,Star Wars
23,75254-1,AT-ST Raider,2019,158,540,https://cdn.rebrickable.com/media/sets/75254-1/19263.jpg,https://rebrickable.com/sets/75254-1/at-st-raider/,2019-09-27T11:07:01.966642Z,158,,Star Wars
24,75255-1,Yoda,2019,158,1771,https://cdn.rebrickable.com/media/sets/75255-1/19221.jpg,https://rebrickable.com/sets/75255-1/yoda/,2019-09-27T10:55:40.794778Z,158,,Star Wars
25,75241-1,Action Battle Echo Base Defense,2019,158,504,https://cdn.rebrickable.com/media/sets/75241-1/21328.jpg,https://rebrickable.com/sets/75241-1/action-battle-echo-base-defense/,2020-04-22T17:43:42.363485Z,158,,Star Wars
26,75246-1,Death Star Cannon,2019,158,159,https://cdn.rebrickable.com/media/sets/75246-1/19253.jpg,https://rebrickable.com/sets/75246-1/death-star-cannon/,2019-11-05T16:20:04.418944Z,158,,Star Wars
